model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PatchCore,MVTec-AD,hazelnut,42,degradation,low_light,moderate,none,0.9989285469055176,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,hazelnut,42,degradation,low_light,severe,none,0.9753571152687073,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,hazelnut,42,degradation,low_light,mild,none,0.8721427917480469,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,hazelnut,42,degradation,low_light,moderate,none,0.7739285230636597,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,hazelnut,42,degradation,low_light,severe,none,0.5,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,hazelnut,42,degradation,gaussian_blur,mild,none,0.9985714554786682,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,hazelnut,42,degradation,gaussian_blur,moderate,none,0.9600000381469727,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,hazelnut,42,degradation,gaussian_blur,severe,none,0.8057142496109009,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,hazelnut,42,degradation,gaussian_blur,mild,none,0.8199999332427979,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,hazelnut,42,degradation,gaussian_blur,moderate,none,0.5283928513526917,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,hazelnut,42,degradation,gaussian_blur,severe,none,0.48357143998146057,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,hazelnut,42,degradation,motion_blur,mild,none,0.9821427464485168,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,hazelnut,42,degradation,motion_blur,moderate,none,0.8867857456207275,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,hazelnut,42,degradation,motion_blur,severe,none,0.8142856955528259,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,hazelnut,42,degradation,motion_blur,mild,none,0.6803570985794067,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,hazelnut,42,degradation,motion_blur,moderate,none,0.6203571557998657,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,hazelnut,42,degradation,motion_blur,severe,none,0.5462499856948853,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,hazelnut,42,degradation,sensor_noise,mild,none,0.9892857670783997,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,hazelnut,42,degradation,sensor_noise,moderate,none,0.9782142639160156,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,hazelnut,42,degradation,sensor_noise,severe,none,0.9296427965164185,augmented_loco,leave_one_corruption_out,sensor_noise
